"Type","Name","MissingInProd","NewerInFullcopy","ProdLastModified","FullcopyLastModified","FullcopyModifiedBy"
"ApexClass","PV_GenerarTareasPeriodicas_sch_Test","False","True","2025-09-19T01:40:21.000Z","2026-01-23T22:49:31.000Z","Jon Beby Escamilla Acosta"
"ApexClass","PV_GenerarTareasPeriodicasSelector_cls","False","True","2025-09-19T01:40:21.000Z","2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexTrigger","ResumenGlobalPostventa_trg","True","False",,"2026-04-24T18:34:24.000Z","Francisco Ortega Frias"
"CustomField","Account.ID_Asesor__c","False","True","2024-12-24T02:10:02.000Z","2026-04-24T18:34:08.000Z","Francisco Ortega Frias"
"CustomField","ACT_BatchConfig__mdt.BusinessHoursName__c","True","False",,"2026-01-23T22:23:20.000Z","Jon Beby Escamilla Acosta"
"CustomField","Act_Cadence_Reassign_Queue__c.Account__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.BatchJobId__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.HasActiveCadences__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.LastError__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.NewAdvisorId__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.NewOwner__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.NextAttemptAt__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.OldAdvisorId__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.OldOwner__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.ProcessedAt__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.RetryCount__c","True","False",,"2026-04-24T18:59:51.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.Status__c","True","False",,"2026-04-24T18:59:52.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.TaskCount__c","True","False",,"2026-04-24T18:59:52.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.TrackerCount__c","True","False",,"2026-04-24T18:59:52.000Z","Gerardo Bautista Serna"
"CustomField","Act_Cadence_Reassign_Queue__c.UniqueKey__c","True","False",,"2026-04-24T18:59:52.000Z","Gerardo Bautista Serna"
"CustomField","Opportunity.FechaContactoOpp__c","True","False",,"2026-03-08T05:52:06.000Z","Francisco Ortega Frias"
"CustomField","ResumenGlobalPostventa__c.ContactadosMensual__c","True","False",,"2026-04-24T18:34:11.000Z","Francisco Ortega Frias"
"CustomField","ResumenGlobalPostventa__c.ExternalId_Nomina__c","False","True","2025-09-19T00:17:23.000Z","2026-04-24T18:34:09.000Z","Francisco Ortega Frias"
"CustomField","ResumenGlobalPostventa__c.ExternalId_NominaFecha__c","True","False",,"2026-04-29T16:44:55.000Z","Francisco Ortega Frias"
"CustomField","ResumenGlobalPostventa__c.MetaMensual__c","True","False",,"2026-04-24T18:34:11.000Z","Francisco Ortega Frias"
"CustomField","ResumenGlobalPostventa__c.PorcentajeAvanceMensual__c","True","False",,"2026-04-24T18:34:11.000Z","Francisco Ortega Frias"
"CustomMetadata","ACT_BatchConfig.PSTA_RegistroResumenGlobal","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","ACT_BatchConfig.PSTA_ResetearEstatusContacto","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","ACT_BatchConfig.PV_GenerarTareasPeriodicas","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.AmountOpportunityPEnmascaramiento131120","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.CloseDateOpportunityPEnmascaramiento131","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.F3_Consecutivo_IDcOpportunityPEnmascara","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.Folio_ZurichcOpportunityPEnmascaramient","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.ID_ASESORcContractPEnmascaramiento13112","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.Importe_ProyectadocOpportunityPEnmascar","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.MontoEstimadoDeInversioncOpportunityPEn","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.NameOpportunityPEnmascaramiento13112025","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.Nombre_del_prospectocOpportunityPEnmasc","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.PL_Prima_NetacOpportunityPEnmascaramien","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.ProbabilityOpportunityPEnmascaramiento1","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Field.ReferenciadorcOpportunityPEnmascaramien","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomMetadata","datamask__Masking_Object.OpportunityPEnmascaramiento13112025","True","False",,"1970-01-01T00:00:00.000Z","Francisco Ortega Frias"
"CustomObject","ACT_BatchConfig__mdt","True","False",,"2026-01-23T22:43:50.000Z","Jon Beby Escamilla Acosta"
"CustomObject","Act_Cadence_Reassign_Queue__c","True","False",,"2026-04-24T18:59:41.000Z","Gerardo Bautista Serna"
"FlexiPage","Postventa","False","True","2025-10-01T16:50:44.000Z","2026-03-25T23:19:04.000Z","Francisco Ortega Frias"
"Flow","ACT_CrearTarea_OpptyStage_UpdateResumen","False","True","2026-03-27T03:23:44.000Z","2026-04-24T18:34:37.000Z","Francisco Ortega Frias"
"Flow","ACT_CrearTarea_OpptyStage_UpdateResumenMensual","True","False",,"2026-04-24T18:34:33.000Z","Francisco Ortega Frias"
"Flow","Patrim_AvanceDeEtapasOportunidad","False","True","2025-07-10T00:06:20.000Z","2026-03-04T23:13:35.000Z","Gerardo Bautista Serna"
"Flow","PV_ActualizaResumenPostventa","False","True","2025-10-13T19:21:49.000Z","2026-03-19T19:11:54.000Z","Jon Beby Escamilla Acosta"
"Layout","ACT_BatchConfig__mdt-ACT Batch Config Layout","True","False",,"2026-01-23T22:23:20.000Z","Jon Beby Escamilla Acosta"
"Layout","Act_Cadence_Reassign_Queue__c-Cadence Reassign Queue Layout","True","False",,"2026-04-24T18:59:41.000Z","Gerardo Bautista Serna"
"LightningComponentBundle","pstaMetaMensualDashboard","True","False",,"2026-04-24T18:33:57.000Z","Francisco Ortega Frias"
"PermissionSet","AdministradorPostventa","False","True","2026-03-27T03:33:32.000Z","2026-04-29T04:59:01.000Z","Francisco Ortega Frias"
"PermissionSet","BanqueroPostventa","False","True","2026-03-27T03:33:32.000Z","2026-04-29T04:59:01.000Z","Francisco Ortega Frias"
"PermissionSet","Control_Tareas_Postventa","True","False",,"2026-02-13T17:10:31.000Z","Dolores Viridiana Padilla Lopez"
"PermissionSet","DirectorPostventa","False","True","2026-03-27T03:33:32.000Z","2026-04-29T04:59:02.000Z","Francisco Ortega Frias"
"ReportType","OportunidadesConPolizas","False","True","2026-03-03T02:10:08.000Z","2026-03-03T02:15:10.000Z","Dolores Viridiana Padilla Lopez"
"ReportType","Reporte_Resumen_Global_PostVenta","False","True","2025-09-19T04:27:59.000Z","2026-04-24T18:34:17.000Z","Francisco Ortega Frias"
"ValidationRule","Opportunity.NoEditarOpportunidadCerradaPerdidaGanada","False","True","2026-03-04T23:43:20.000Z","2026-03-04T23:49:08.000Z","Gerardo Bautista Serna"
